docking_score,smiles
-7.7,Cc1ccc2nc([C@H]3CCCN3C(=O)NC3CC(C)(C)NC(C)(C)C3)[nH]c2c1
-7.7,O=C(NNS(=O)(=O)c1cccc(Br)c1)c1cc2c(s1)CCCCCC2
-7.7,O=C(Cc1n[nH]c2ccccc12)N[C@@H](C(=O)O)c1cc(F)ccc1F
-7.7,Cc1ccc(C2CCC3(CC2)NC(=N)Nc2nc4ccccc4n23)cc1
-7.7,O=C(O)C[C@H](NC(=O)[C@@H]1CCc2cc(F)ccc21)c1cccs1
-7.7,CS(=O)(=O)N1CCC[C@@H](C(=O)Nc2nc3cc(F)c(F)cc3s2)C1
-7.7,NC(=O)[C@@H]1C[C@@H](F)CN1S(=O)(=O)c1cccc2cccnc12
-7.7,O=S(=O)(Nc1ccc2[nH]ncc2c1)c1ccc2c(c1)OCCCO2
-7.7,Cc1ccc(-n2c(SCC(=O)N3CCCC3)nnc2-c2ccccc2F)cc1
-7.7,Cc1ccc(-c2cc(=NC(=O)c3cc4ccccc4oc3=O)[nH][nH]2)s1
-7.7,Fc1ccc(-c2nnc3n2C[C@@H](N[C@@H]2CCOC4(CCC4)C2)CC3)cc1
-7.7,O=C(NCc1ccccc1CN1CCCC1)c1nc(N2CCCC2)ncc1Cl
-7.6,Cc1noc(NC(=O)[C@@H]2CCC(=O)c3cccn32)c1C
-7.6,O=C1CCCN1[C@H]1CCN(c2ncnc3[nH]ccc23)C1
-7.6,Cc1o[nH]c(=N)c1S(=O)(=O)N[C@]1(C(=O)O)CCc2ccccc21
-7.6,Cc1cccc(C(=O)NNC(=O)c2sc3cc(F)ccc3c2Cl)c1[N+](=O)[O-]
-7.6,O=C(CCN1C(=O)c2ccccc2S1(=O)=O)N1CC2(CC2)c2ncccc21
-7.6,Cn1cc(NS(=O)(=O)c2cc3c(Br)cccc3s2)c(O)nc1=O
-7.6,COc1ccc(C(=O)N2CCCC[C@@H]2c2cc3ccccc3[nH]2)nn1
-7.6,O=C(CN1C(=O)N[C@]2(CCc3ccccc32)C1=O)c1ccc[nH]1
-7.6,Cc1ncc(C(F)(F)F)cc1C(=O)N=[S@]1(=O)CCC[C@@]2(CCCN2)C1
-7.6,Cc1ccc2sc(CN[C@](C)(C(N)=O)c3cccc(C(F)(F)F)c3)nc2c1
