docking_score,smiles
-7.3,O=C(NCCn1ccc(O)nc1=O)[C@@H]1NCC[C@H]2CCCC[C@@H]21
-7.3,C[C@H]1CCCN(S(=O)(=O)c2cccc(S(N)(=O)=O)c2)[C@@H]1CN
-7.3,Cc1cccc(NC(=O)NC(=O)CN2CC[C@@](O)(C(N)=O)C2)c1C
-7.3,C[C@@H]1CN(C2CCOCC2)CCN1C(=O)CN1C(=O)CN(C)C1=O
-7.3,O=C(CN1C(=O)c2cccc([N+](=O)[O-])c2C1=O)N1CCOCC1
-7.3,C[C@@H]1COC[C@@H]2C(=O)N([C@@H]3CC(=O)N(C)C3)C(=O)N12
-7.3,O=C(C1C2CS(=O)(=O)CC21)N1C2CCC1(CO)CC2
-7.3,CN(C)S(=O)(=O)c1ccc(Cl)c(C(=O)N2CC(C(N)=O)C2)c1
-7.3,CN1C(=O)C[C@H](NS(=O)(=O)C[C@H]2CCCCO2)[C@H]1c1ccnn1C
-7.3,O=C(N[C@@H]1CC(=O)N(c2ccccc2)C1)C(=O)N1C[C@@H]2C[C@H](C1)N2
-7.3,O[C@H]1[C@H]2C[C@@H]([C@H]1O)N(CCOc1ccc(Cc3nn[nH]n3)cc1)C2
-7.3,CNC1CCN(S(=O)(=O)c2cccc(-n3cnnn3)c2)CC1
-7.3,O=C(CN1CCO[C@@H]2CCCC[C@@H]21)NC(=O)N[C@H]1CCS(=O)(=O)C1
-7.3,Cn1ccc(C(=O)NC[C@@H]2CCN2C(=O)C2(O)CCCC2)n1
-7.3,Cn1[nH]c(=NC(=O)c2cc3nccn3c(O)n2)c2nccnc21
-7.3,CNC(=O)[C@H](Cc1cnc[nH]1)NC(=O)Cn1ccc(=O)c(O)c1C
-7.3,Cc1nc(SCC(=O)NNC(=O)[C@@H]2COc3ccccc3O2)n[nH]1
-7.3,CCOc1ncccc1S(=O)(=O)NC(=O)[C@@H]1CCc2nnnn2C1
-7.3,NS(=O)(=O)c1cccc(-c2noc([C@@H]3CCn4nnnc4C3)n2)c1
-7.3,O=C(Cn1c(O)nc2ccccc21)N1CCO[C@@H](c2nn[nH]n2)C1
